,deviant,vocal_effort/1,vocal_effort/2,vocal_effort/3,vocal_effort/4,vocal_effort/5,button_press
cs2i9p,7.027279480098514e-06,3.98273232349311e-06,5.4259148782875855e-06,5.701375357602956e-06,3.858637228404405e-06,4.020014785055537e-06,-3.996562099928269e-06
e0q0kf,-7.23836274119094e-06,3.6244869079382624e-06,5.911509560974082e-06,4.726360202766955e-06,4.04631236960995e-06,4.85354848933639e-06,4.626356258086162e-06
1r3qdv,5.493855951499427e-06,1.5243510915752267e-06,3.715500952239381e-06,4.371889644971816e-06,3.339712520755711e-06,3.550939254637342e-06,2.1123109945619944e-06
oucxs1,8.256649380200543e-06,-1.6481163811477018e-06,-1.8587114709589514e-06,1.2480285249694134e-06,1.7619565824134042e-06,2.5805852601479273e-06,5.859182692802278e-06
ihc3jn,6.079120794311166e-06,2.69450379164482e-06,3.1675508580519818e-06,3.9970532270672265e-06,3.3691749194986187e-06,5.014435373595916e-06,1.945167241501622e-06
gnnl7z,1.873167639132589e-05,-2.799455842250609e-06,-4.19033949583536e-06,-3.956088221457321e-06,5.247561148280511e-06,-4.441707005753415e-06,1.0588189979898743e-05
zx4v7q,1.1464013368822634e-05,-2.933337555077742e-06,3.1095873964659404e-06,3.2604825719317887e-06,3.950353402615292e-06,4.640783117793035e-06,4.915287263429491e-06
cl3vh1,-1.0315602594346274e-05,-2.4729088181629777e-06,-1.6047282542785979e-06,-2.2183749024407007e-06,3.19620039590518e-06,2.5263007046305574e-06,7.321062639675802e-06
u88rdo,1.4151740288070869e-05,-2.933947598648956e-06,4.203383923595538e-06,3.8024697914806893e-06,2.379805891905562e-06,2.530955953261582e-06,2.9864195312256925e-06
topo6t,7.304455266421428e-06,-2.643949528646772e-06,-2.2254018858802738e-06,-2.4108092020469485e-06,2.676754775166046e-06,2.403064854661352e-06,3.1449148991669063e-06
kptdo4,1.120474098570412e-05,2.2431829620472854e-06,2.5343183551740367e-06,3.363218183949357e-06,3.5341847706149565e-06,3.056502009712858e-06,6.962657153053442e-06
gml110,1.3080177268420812e-05,5.294885340845212e-06,7.118404482753249e-06,5.245013653620845e-06,5.1616079872474074e-06,5.987055374134798e-06,3.2097384519147454e-06
4q868v,1.462313775846269e-05,3.872623437928269e-06,6.456213213823503e-06,5.1007550609938335e-06,6.120974376244703e-06,7.848141649446916e-06,6.385105734807439e-06
5epwx8,3.893144821631722e-06,1.882399374153465e-06,4.0109916881192476e-06,2.6395837267045863e-06,2.232446831840207e-06,-2.684656465135049e-06,4.272455953469034e-06
8jhsvx,-5.0829994506784715e-06,-2.034201315836981e-06,-1.6673544678269536e-06,-1.7912473140313523e-06,-1.848375518420653e-06,-1.8016511376117705e-06,2.631127927088528e-06
03d3rc,9.443386261409614e-06,5.371141014620662e-06,6.056467555026757e-06,5.654828328260919e-06,6.9150160015851725e-06,7.577774795208825e-06,-8.548387086193543e-06
e3km75,7.887432730058208e-06,2.1552025373239303e-06,2.4970586309791543e-06,3.0811722808721242e-06,3.89736032957444e-06,5.018358478992013e-06,4.001252364105312e-06
l6e5vs,-6.42475515633123e-06,1.5607002978867968e-06,4.763612196256872e-06,2.8758845473930705e-06,2.612042180771823e-06,4.021550921606831e-06,3.663925326691242e-06
atz2ps,5.7101237871393096e-06,1.373774239254999e-06,1.4618010482081445e-06,1.6798060187284136e-06,2.119440296155517e-06,1.9327076188346837e-06,1.6622151406409102e-06
oht0ey,6.297573236224707e-06,-2.3116488137020497e-06,-2.3703532860963605e-06,-1.8078120547215804e-06,2.581137096058228e-06,-2.250840680062538e-06,-3.16110413223214e-06
omfdt1,2.0075260181329213e-05,7.420264864776982e-06,8.09550238045631e-06,1.2404673725541215e-05,1.2163926840003114e-05,1.137314029620029e-05,5.9878930187551305e-06
22ocyt,1.7832509911386296e-05,5.929673989157891e-06,5.635240995616186e-06,4.757068836624967e-06,6.690368991257856e-06,7.078800535964547e-06,5.46427872905042e-06
375j87,2.838534555849037e-06,-1.3309964970176225e-06,1.8726315147432615e-06,1.5174770169323892e-06,1.5305234910556464e-06,1.3861754268873483e-06,1.6163273812708212e-06
g7rpgd,9.069573934539221e-06,1.173187115455221e-06,1.4232249441192835e-06,1.8063434481518925e-06,2.131028850271832e-06,2.253850880151731e-06,-3.7988302210578695e-06
hufhxx,9.193497135129292e-06,1.7336866449113586e-06,4.640392944565974e-06,3.781136911129579e-06,3.1170930014923215e-06,3.2930995530477958e-06,4.236029326420976e-06
k9p0u7,-1.2013652849418577e-05,1.912332891151891e-06,2.6637826522346586e-06,4.377675850264495e-06,3.3173218980664387e-06,4.7079734031285625e-06,8.421732673014048e-06
8adzch,1.2579685972013976e-05,4.042102773382794e-06,3.5686971386894584e-06,5.7118745644402225e-06,7.2207740231533535e-06,4.760079718835186e-06,6.986655989749124e-06
c93bxb,-6.965384727664059e-06,-3.060051312786527e-06,-3.0027940738364123e-06,-2.3636978312424617e-06,-2.7611947643890744e-06,-2.644333790158271e-06,6.376843430189183e-06
2ojf8e,3.8132463942019967e-06,-8.483324904773326e-07,1.0582948561932426e-06,8.708076393304509e-07,1.8853468191082356e-06,1.272147301278892e-06,-1.3406325933829066e-06
t895pw,6.330085398076335e-06,2.6044092464871937e-06,2.4503049189661397e-06,3.064337761315983e-06,3.5030200251640053e-06,2.6011789486801717e-06,3.730921889655292e-06
4jyisj,1.382074970024405e-05,2.7489431886351667e-06,2.719827989494661e-06,2.750985458987998e-06,3.4683507692534477e-06,4.750982952828053e-06,5.220689672569279e-06
