,deviant,vocal_effort/1,vocal_effort/2,vocal_effort/3,vocal_effort/4,vocal_effort/5,button_press
cs2i9p,0.3479999970197678,0.2539999970197678,0.24999999701976777,0.24399999701976777,0.2619999970197678,0.29799999701976776,0.03599999701976775
e0q0kf,0.6379999970197677,0.23599999701976776,0.23199999701976776,0.21399999701976774,0.23399999701976776,0.23199999701976776,0.11399999701976776
1r3qdv,0.3199999970197678,0.16799999701976776,0.22199999701976775,0.19799999701976778,0.23399999701976776,0.22399999701976775,0.4419999970197678
oucxs1,0.3839999970197677,0.42199999701976776,0.09799999701976775,0.19199999701976778,0.17799999701976776,0.21599999701976774,0.4859999970197678
ihc3jn,0.3459999970197678,0.3219999970197678,0.2679999970197678,0.21199999701976774,0.24599999701976777,0.21799999701976774,0.22599999701976775
gnnl7z,0.30399999701976776,0.5279999970197677,0.6339999970197677,0.5279999970197677,0.23799999701976776,0.6719999970197678,0.6379999970197677
zx4v7q,0.3339999970197678,0.6019999970197678,0.24399999701976777,0.22999999701976775,0.21599999701976774,0.2599999970197678,0.14999999701976774
cl3vh1,0.6219999970197677,0.42999999701976777,0.5799999970197678,0.13399999701976778,0.20999999701976774,0.22199999701976775,0.3739999970197677
u88rdo,0.3379999970197678,0.6479999970197677,0.21599999701976774,0.20999999701976774,0.19999999701976778,0.29199999701976775,0.5159999970197677
topo6t,0.3459999970197678,0.28799999701976775,0.5019999970197677,0.4999999970197677,0.21599999701976774,0.22599999701976775,0.38999999701976773
kptdo4,0.3199999970197678,0.3419999970197678,0.20999999701976774,0.2059999970197678,0.22599999701976775,0.23999999701976776,0.40799999701976775
gml110,0.3199999970197678,0.3179999970197678,0.20799999701976774,0.20999999701976774,0.23399999701976776,0.29999999701976776,0.13799999701976778
4q868v,0.3379999970197678,0.19799999701976778,0.20199999701976779,0.23199999701976776,0.23399999701976776,0.2599999970197678,0.13599999701976778
5epwx8,0.21599999701976774,0.22799999701976775,0.2039999970197678,0.21599999701976774,0.23999999701976776,0.5079999970197677,0.4499999970197678
8jhsvx,0.5119999970197677,0.6019999970197678,0.5139999970197677,0.09799999701976775,0.5339999970197677,0.6319999970197677,0.31199999701976777
03d3rc,0.3319999970197678,0.3299999970197678,0.23999999701976776,0.23599999701976776,0.21999999701976775,0.22799999701976775,0.02799999701976777
e3km75,0.19399999701976778,0.18799999701976777,0.22999999701976775,0.23599999701976776,0.2619999970197678,0.23799999701976776,0.5179999970197677
l6e5vs,0.4619999970197678,0.23999999701976776,0.2059999970197678,0.2059999970197678,0.24599999701976777,0.2559999970197678,0.16599999701976775
atz2ps,0.3639999970197677,0.3719999970197677,0.2559999970197678,0.3439999970197678,0.2559999970197678,0.2619999970197678,0.4779999970197678
oht0ey,0.3679999970197677,0.6219999970197677,0.28999999701976775,0.6099999970197678,0.24199999701976777,0.4839999970197678,0.033999997019767775
omfdt1,0.18599999701976777,0.2059999970197678,0.2039999970197678,0.19799999701976778,0.19599999701976778,0.19799999701976778,0.22799999701976775
22ocyt,0.30799999701976777,0.2539999970197678,0.2519999970197678,0.20199999701976779,0.22199999701976775,0.23799999701976776,0.5039999970197677
375j87,0.3699999970197677,0.5799999970197678,0.20999999701976774,0.3519999970197678,0.20199999701976779,0.3279999970197678,0.5359999970197677
g7rpgd,0.3599999970197678,0.29599999701976776,0.29399999701976776,0.2539999970197678,0.24399999701976777,0.2579999970197678,0.05799999701976777
hufhxx,0.21199999701976774,0.2539999970197678,0.2059999970197678,0.19999999701976778,0.27599999701976774,0.2559999970197678,0.4839999970197678
k9p0u7,0.6219999970197677,0.3199999970197678,0.24399999701976777,0.21599999701976774,0.24199999701976777,0.2579999970197678,0.6999999970197678
8adzch,0.3479999970197678,0.3439999970197678,0.2519999970197678,0.21999999701976775,0.21799999701976774,0.2519999970197678,0.4379999970197678
c93bxb,0.5299999970197677,0.6619999970197677,0.6699999970197678,0.5819999970197678,0.5799999970197678,0.6739999970197678,0.3319999970197678
2ojf8e,0.3399999970197678,0.5179999970197677,0.20999999701976774,0.20799999701976774,0.21599999701976774,0.22199999701976775,0.3779999970197677
t895pw,0.3419999970197678,0.18199999701976777,0.19199999701976778,0.2679999970197678,0.2559999970197678,0.23399999701976776,0.39199999701976773
4jyisj,0.3539999970197678,0.20799999701976774,0.18799999701976777,0.22199999701976775,0.21199999701976774,0.2039999970197678,0.4639999970197678
