,deviant,vocal_effort/1,vocal_effort/2,vocal_effort/3,vocal_effort/4,vocal_effort/5,button_press
cs2i9p,"{'peak_time': 0.3479999970197678, 'peak_amplitude': 7.027279480098514e-06}","{'peak_time': 0.2539999970197678, 'peak_amplitude': 3.98273232349311e-06}","{'peak_time': 0.24999999701976777, 'peak_amplitude': 5.4259148782875855e-06}","{'peak_time': 0.24399999701976777, 'peak_amplitude': 5.701375357602956e-06}","{'peak_time': 0.2619999970197678, 'peak_amplitude': 3.858637228404405e-06}","{'peak_time': 0.29799999701976776, 'peak_amplitude': 4.020014785055537e-06}","{'peak_time': 0.03599999701976775, 'peak_amplitude': -3.996562099928269e-06}"
e0q0kf,"{'peak_time': 0.6379999970197677, 'peak_amplitude': -7.23836274119094e-06}","{'peak_time': 0.23599999701976776, 'peak_amplitude': 3.6244869079382624e-06}","{'peak_time': 0.23199999701976776, 'peak_amplitude': 5.911509560974082e-06}","{'peak_time': 0.21399999701976774, 'peak_amplitude': 4.726360202766955e-06}","{'peak_time': 0.23399999701976776, 'peak_amplitude': 4.04631236960995e-06}","{'peak_time': 0.23199999701976776, 'peak_amplitude': 4.85354848933639e-06}","{'peak_time': 0.11399999701976776, 'peak_amplitude': 4.626356258086162e-06}"
1r3qdv,"{'peak_time': 0.3199999970197678, 'peak_amplitude': 5.493855951499427e-06}","{'peak_time': 0.16799999701976776, 'peak_amplitude': 1.5243510915752267e-06}","{'peak_time': 0.22199999701976775, 'peak_amplitude': 3.715500952239381e-06}","{'peak_time': 0.19799999701976778, 'peak_amplitude': 4.371889644971816e-06}","{'peak_time': 0.23399999701976776, 'peak_amplitude': 3.339712520755711e-06}","{'peak_time': 0.22399999701976775, 'peak_amplitude': 3.550939254637342e-06}","{'peak_time': 0.4419999970197678, 'peak_amplitude': 2.1123109945619944e-06}"
oucxs1,"{'peak_time': 0.3839999970197677, 'peak_amplitude': 8.256649380200543e-06}","{'peak_time': 0.42199999701976776, 'peak_amplitude': -1.6481163811477018e-06}","{'peak_time': 0.09799999701976775, 'peak_amplitude': -1.8587114709589514e-06}","{'peak_time': 0.19199999701976778, 'peak_amplitude': 1.2480285249694134e-06}","{'peak_time': 0.17799999701976776, 'peak_amplitude': 1.7619565824134042e-06}","{'peak_time': 0.21599999701976774, 'peak_amplitude': 2.5805852601479273e-06}","{'peak_time': 0.4859999970197678, 'peak_amplitude': 5.859182692802278e-06}"
ihc3jn,"{'peak_time': 0.3459999970197678, 'peak_amplitude': 6.079120794311166e-06}","{'peak_time': 0.3219999970197678, 'peak_amplitude': 2.69450379164482e-06}","{'peak_time': 0.2679999970197678, 'peak_amplitude': 3.1675508580519818e-06}","{'peak_time': 0.21199999701976774, 'peak_amplitude': 3.9970532270672265e-06}","{'peak_time': 0.24599999701976777, 'peak_amplitude': 3.3691749194986187e-06}","{'peak_time': 0.21799999701976774, 'peak_amplitude': 5.014435373595916e-06}","{'peak_time': 0.22599999701976775, 'peak_amplitude': 1.945167241501622e-06}"
gnnl7z,"{'peak_time': 0.30399999701976776, 'peak_amplitude': 1.873167639132589e-05}","{'peak_time': 0.5279999970197677, 'peak_amplitude': -2.799455842250609e-06}","{'peak_time': 0.6339999970197677, 'peak_amplitude': -4.19033949583536e-06}","{'peak_time': 0.5279999970197677, 'peak_amplitude': -3.956088221457321e-06}","{'peak_time': 0.23799999701976776, 'peak_amplitude': 5.247561148280511e-06}","{'peak_time': 0.6719999970197678, 'peak_amplitude': -4.441707005753415e-06}","{'peak_time': 0.6379999970197677, 'peak_amplitude': 1.0588189979898743e-05}"
zx4v7q,"{'peak_time': 0.3339999970197678, 'peak_amplitude': 1.1464013368822634e-05}","{'peak_time': 0.6019999970197678, 'peak_amplitude': -2.933337555077742e-06}","{'peak_time': 0.24399999701976777, 'peak_amplitude': 3.1095873964659404e-06}","{'peak_time': 0.22999999701976775, 'peak_amplitude': 3.2604825719317887e-06}","{'peak_time': 0.21599999701976774, 'peak_amplitude': 3.950353402615292e-06}","{'peak_time': 0.2599999970197678, 'peak_amplitude': 4.640783117793035e-06}","{'peak_time': 0.14999999701976774, 'peak_amplitude': 4.915287263429491e-06}"
cl3vh1,"{'peak_time': 0.6219999970197677, 'peak_amplitude': -1.0315602594346274e-05}","{'peak_time': 0.42999999701976777, 'peak_amplitude': -2.4729088181629777e-06}","{'peak_time': 0.5799999970197678, 'peak_amplitude': -1.6047282542785979e-06}","{'peak_time': 0.13399999701976778, 'peak_amplitude': -2.2183749024407007e-06}","{'peak_time': 0.20999999701976774, 'peak_amplitude': 3.19620039590518e-06}","{'peak_time': 0.22199999701976775, 'peak_amplitude': 2.5263007046305574e-06}","{'peak_time': 0.3739999970197677, 'peak_amplitude': 7.321062639675802e-06}"
u88rdo,"{'peak_time': 0.3379999970197678, 'peak_amplitude': 1.4151740288070869e-05}","{'peak_time': 0.6479999970197677, 'peak_amplitude': -2.933947598648956e-06}","{'peak_time': 0.21599999701976774, 'peak_amplitude': 4.203383923595538e-06}","{'peak_time': 0.20999999701976774, 'peak_amplitude': 3.8024697914806893e-06}","{'peak_time': 0.19999999701976778, 'peak_amplitude': 2.379805891905562e-06}","{'peak_time': 0.29199999701976775, 'peak_amplitude': 2.530955953261582e-06}","{'peak_time': 0.5159999970197677, 'peak_amplitude': 2.9864195312256925e-06}"
topo6t,"{'peak_time': 0.3459999970197678, 'peak_amplitude': 7.304455266421428e-06}","{'peak_time': 0.28799999701976775, 'peak_amplitude': -2.643949528646772e-06}","{'peak_time': 0.5019999970197677, 'peak_amplitude': -2.2254018858802738e-06}","{'peak_time': 0.4999999970197677, 'peak_amplitude': -2.4108092020469485e-06}","{'peak_time': 0.21599999701976774, 'peak_amplitude': 2.676754775166046e-06}","{'peak_time': 0.22599999701976775, 'peak_amplitude': 2.403064854661352e-06}","{'peak_time': 0.38999999701976773, 'peak_amplitude': 3.1449148991669063e-06}"
